customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3957-SQXML,Female,0.0,,,34.0,Yes,,No,No internet service,No internet service,,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,
,Female,,No,,72.0,Yes,Yes,Fiber optic,No,,,,,Yes,Two year,Yes,Credit card (automatic),107.5,,
0434-CSFON,,,,No,47.0,Yes,Yes,,No,No,Yes,No,,Yes,Month-to-month,Yes,Electronic check,100.5,,No
1215-FIGMP,Male,0.0,No,No,60.0,Yes,Yes,,No,,No,No,,No,Month-to-month,Yes,,89.9,5450.7,No
0526-SXDJP,Male,0.0,Yes,No,,,No phone service,,Yes,Yes,Yes,No,No,No,Two year,No,,,2962,No
0557-ASKVU,Female,,Yes,Yes,18.0,Yes,,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),,957.1,No
5698-BQJOH,Female,0.0,,,,Yes,,Fiber optic,,No,,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes
5122-CYFXA,Female,0.0,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,,Yes,Electronic check,75.3,,No
8627-ZYGSZ,Male,0.0,Yes,No,47.0,Yes,Yes,Fiber optic,,Yes,No,No,,No,One year,Yes,,78.9,3650.35,No
3410-YOQBQ,Female,0.0,,,,,No,,No,Yes,,Yes,Yes,Yes,,No,Mailed check,79.2,2497.2,No
3170-NMYVV,Female,,,Yes,50.0,Yes,,No,,,No internet service,No internet service,No internet service,No internet service,,,Bank transfer (automatic),20.15,930.9,No
,Male,0.0,No,,10.0,Yes,No,,,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No
2273-QCKXA,Male,,No,No,1.0,Yes,No,DSL,No,No,No,Yes,,No,Month-to-month,No,Mailed check,49.05,49.05,
0731-EBJQB,Female,0.0,Yes,Yes,,Yes,No,,,No internet service,No internet service,No internet service,No internet service,,One year,,Electronic check,20.4,1090.65,No
1891-QRQSA,Male,1.0,Yes,Yes,,Yes,Yes,,Yes,No,Yes,,Yes,Yes,Two year,Yes,Bank transfer (automatic),,7099,No
8028-PNXHQ,,,Yes,Yes,62.0,Yes,Yes,,No internet service,,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No
,Female,0.0,No,Yes,3.0,,No,DSL,,No,No,Yes,,Yes,,Yes,Bank transfer (automatic),,177.4,No
2673-CXQEU,Female,1.0,No,No,56.0,,Yes,Fiber optic,Yes,Yes,Yes,No,,Yes,One year,No,Electronic check,110.5,6139.5,
6416-JNVRK,,0.0,No,,46.0,Yes,No,DSL,No,No,No,,No,,One year,,Credit card (automatic),,2688.85,
5590-ZSKRV,Female,,Yes,,8.0,,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,,482.25,No
0191-ZHSKZ,Male,1.0,,No,30.0,Yes,No,,Yes,Yes,No,No,Yes,Yes,,Yes,Electronic check,74.75,,
3887-PBQAO,,,,Yes,,Yes,Yes,,No internet service,No internet service,No internet service,No internet service,,No internet service,One year,,Credit card (automatic),25.9,1216.6,No
5919-TMRGD,,0.0,No,Yes,1.0,Yes,No,,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,,Yes
8108-UXRQN,Female,0.0,,,11.0,,No phone service,,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No
9191-MYQKX,,0.0,Yes,No,,,No,Fiber optic,No,No,Yes,,,No,Month-to-month,Yes,Bank transfer (automatic),75.15,,Yes
9919-YLNNG,Female,,No,No,42.0,Yes,,Fiber optic,No,,Yes,Yes,Yes,Yes,,Yes,Bank transfer (automatic),103.8,4327.5,No
0318-ZOPWS,Female,0.0,Yes,No,49.0,Yes,,,No internet service,No internet service,,,No internet service,No internet service,,,Bank transfer (automatic),20.15,,No
,,0.0,No,No,,Yes,Yes,,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No
,Female,,Yes,No,35.0,Yes,,DSL,,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),,,No
1862-QRWPE,,0.0,Yes,Yes,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,,,Two year,No,Bank transfer (automatic),20.65,,
,Female,0.0,,Yes,46.0,,No,No,No internet service,,No internet service,No internet service,No internet service,,,,Mailed check,19.95,927.1,No
3016-KSVCP,Male,0.0,Yes,,29.0,No,No phone service,DSL,No,,No,,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No
,,0.0,Yes,Yes,,Yes,,Fiber optic,,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,Male,1.0,No,,1.0,Yes,No,Fiber optic,No,,No,Yes,No,,,No,Electronic check,,74.7,
7233-PAHHL,Male,,,Yes,66.0,Yes,Yes,DSL,Yes,No,Yes,,,Yes,Two year,Yes,Mailed check,,,No
6067-NGCEU,Female,0.0,No,No,65.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,,Credit card (automatic),,7107,No
,Male,0.0,No,No,,Yes,,Fiber optic,,Yes,Yes,No,,Yes,Two year,,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,,0.0,No,No,,Yes,Yes,,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,,Yes
9803-FTJCG,Male,0.0,Yes,Yes,,Yes,Yes,DSL,Yes,Yes,,Yes,No,No,,Yes,Credit card (automatic),66.85,4748.7,No
0278-YXOOG,Male,0.0,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,,,113.85,Yes
3212-KXOCR,Male,,No,No,52.0,,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,,No,Bank transfer (automatic),,,No
4598-XLKNJ,Female,1.0,,No,25.0,Yes,No,,,,,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes
6380-ARCEH,Male,0.0,No,No,1.0,,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,,20.2,No
3679-XASPY,Female,0.0,Yes,,1.0,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No
7123-WQUHX,Male,0.0,No,No,38.0,Yes,Yes,,No,No,Yes,Yes,Yes,No,One year,,Bank transfer (automatic),95.0,3605.6,No
5386-THSLQ,Female,,,No,66.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,,,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,Male,0.0,,No,,Yes,,Fiber optic,,Yes,,,Yes,Yes,Two year,,Bank transfer (automatic),,7611.85,Yes
6180-YBIQI,Male,0.0,,,5.0,No,No phone service,DSL,No,No,No,No,No,,Month-to-month,No,Mailed check,24.3,100.2,No
6728-DKUCO,Female,0.0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,
9750-BOOHV,Female,0.0,No,No,32.0,No,No phone service,,,No,No,,No,No,One year,No,Mailed check,30.15,927.65,No
8597-CWYHH,Male,0.0,No,No,43.0,,Yes,,No,No,,No,,Yes,One year,No,Mailed check,94.35,3921.3,No
2848-YXSMW,Male,0.0,Yes,,,Yes,No,No,No internet service,,No internet service,No internet service,,No internet service,Two year,,Credit card (automatic),19.4,,No
,Male,0.0,Yes,,55.0,Yes,,Fiber optic,Yes,Yes,No,No,,,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes
4549-ZDQYY,Female,0.0,No,,,,No,DSL,Yes,,,Yes,No,No,,No,Credit card (automatic),57.95,3042.25,No
5712-AHQNN,Female,0.0,No,No,43.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,,Electronic check,91.65,3954.1,No
4846-WHAFZ,Female,,,No,37.0,Yes,,Fiber optic,No,,No,No,,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes
5256-SKJGO,Female,0.0,Yes,Yes,,,No phone service,DSL,,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,
3071-VBYPO,,0.0,Yes,Yes,,Yes,,Fiber optic,Yes,Yes,,,Yes,No,,No,Electronic check,89.85,248.4,No
9560-BBZXK,Female,0.0,No,No,36.0,No,No phone service,,Yes,No,No,No,No,No,,No,Bank transfer (automatic),,,No
,Female,0.0,Yes,Yes,10.0,Yes,Yes,Fiber optic,,,No,No,,,,Yes,Electronic check,100.25,,
8402-OOOHJ,Female,0.0,No,No,41.0,,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,,20.65,835.15,No
9445-ZUEQE,Male,,Yes,Yes,27.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,,,2151.6,No
1091-SOZGA,,0.0,Yes,,56.0,Yes,Yes,Fiber optic,,No,,No,Yes,Yes,One year,,,99.8,,No
2928-HLDBA,Female,0.0,No,,6.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,,No,,,,
,,0.0,No,No,3.0,,,Fiber optic,No,No,No,No,No,,Month-to-month,Yes,Electronic check,74.4,,Yes
6497-TILVL,Female,0.0,Yes,Yes,7.0,Yes,No,DSL,,No,No,No,No,No,Month-to-month,,Mailed check,50.7,350.35,No
7219-TLZHO,Female,0.0,Yes,Yes,4.0,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,
4622-YNKIJ,Male,,,No,33.0,Yes,No,Fiber optic,Yes,No,No,,Yes,No,Two year,,,88.95,3027.65,No
4412-YLTKF,,1.0,No,No,27.0,Yes,,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,
6734-PSBAW,Male,0.0,Yes,No,72.0,,Yes,,No internet service,No internet service,No internet service,,,,,Yes,Bank transfer (automatic),23.55,1723.95,
3930-ZGWVE,Male,0.0,No,,,Yes,No,No,,,No internet service,,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,No
,Male,,No,No,71.0,No,No phone service,DSL,Yes,,No,No,,Yes,One year,Yes,,56.45,3985.35,No
2876-GZYZC,Female,0.0,,No,13.0,Yes,Yes,,No,No,No,No,No,,,Yes,Electronic check,85.95,1215.65,
6207-WIOLX,,0.0,Yes,Yes,25.0,No,No phone service,DSL,,Yes,Yes,,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,,Yes
8587-XYZSF,Male,0.0,No,No,67.0,Yes,No,DSL,No,,,Yes,No,No,Two year,,Bank transfer (automatic),50.55,3260.1,No
3091-FYHKI,Male,0.0,No,No,1.0,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,,,35.45,35.45,Yes
2372-HWUHI,Male,0.0,No,,,Yes,No,DSL,No,No,,No,No,,,No,Electronic check,,,Yes
,,0.0,No,,43.0,Yes,Yes,No,No internet service,No internet service,,No internet service,,No internet service,,Yes,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,Female,0.0,No,No,23.0,Yes,No,Fiber optic,,No,No,,,No,Month-to-month,Yes,,75.0,1778.5,No
3774-VBNXY,,0.0,Yes,Yes,64.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,1277.75,No
6217-KDYWC,Male,0.0,No,Yes,,,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,Yes,,,1170.55,No
0390-DCFDQ,Female,1.0,Yes,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,,Yes,Mailed check,70.45,70.45,Yes
3146-MSEGF,Female,1.0,,Yes,72.0,Yes,Yes,DSL,,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,Female,0.0,No,No,,,Yes,DSL,Yes,No,No,,No,Yes,Month-to-month,,Electronic check,71.15,563.65,
,Female,0.0,,No,,Yes,Yes,Fiber optic,No,Yes,No,No,,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,Male,0.0,,No,64.0,,Yes,Fiber optic,Yes,Yes,No,No,No,No,,Yes,Credit card (automatic),,,No
,Male,1.0,Yes,No,71.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Two year,No,Bank transfer (automatic),23.95,1756.2,No
5716-EZXZN,Female,,,Yes,65.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,,Credit card (automatic),99.05,,No
6837-BJYDQ,Male,,No,,,Yes,No,No,No internet service,,,No internet service,No internet service,,One year,,Mailed check,19.6,61.35,No
2135-RXIHG,Male,0.0,No,No,1.0,Yes,,DSL,No,No,No,No,No,,Month-to-month,Yes,Electronic check,45.65,45.65,Yes
6440-DKQGE,Male,,No,,30.0,Yes,No,DSL,,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,,No
,,0.0,Yes,Yes,15.0,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,,Yes,Mailed check,69.5,1071.4,
3780-YVMFA,Female,0.0,Yes,Yes,8.0,Yes,,,No,No,No,,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,No
,Male,0.0,,No,7.0,Yes,Yes,Fiber optic,No,No,No,,,Yes,Month-to-month,,Mailed check,95.0,,
1679-JRFBR,Female,0.0,Yes,Yes,70.0,Yes,Yes,Fiber optic,,,Yes,No,,Yes,,Yes,Credit card (automatic),108.15,7930.55,
9073-ZZIAY,Male,0.0,,Yes,62.0,,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,,No,Electronic check,86.1,5215.25,
3077-RSNTJ,Female,,Yes,Yes,6.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,,19.7,113.5,No
6551-GNYDG,Female,0.0,Yes,Yes,14.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,,80.9,,
9167-APMXZ,,,No,No,22.0,Yes,Yes,Fiber optic,No,,,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),,1821.95,No
2749-CTKAJ,Male,0.0,,Yes,22.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,No,Mailed check,20.15,419.9,No
6371-NZYEG,Male,0.0,Yes,Yes,,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,64.25,1024,No
7554-NEWDD,Male,0.0,No,No,10.0,Yes,Yes,No,No internet service,,,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,Female,0.0,No,Yes,13.0,,No,DSL,,,,No,No,No,Month-to-month,,,56.0,764.55,No
0867-MKZVY,Female,,Yes,,20.0,Yes,Yes,Fiber optic,Yes,No,No,No,,No,Month-to-month,,Electronic check,82.4,1592.35,Yes
4482-EWFMI,,0.0,No,No,2.0,Yes,No,Fiber optic,No,,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,,No
4648-YPBTM,Male,0.0,No,No,,Yes,,DSL,No,,,Yes,,Yes,Two year,,,73.9,3958.25,No
2907-ILJBN,Female,0.0,Yes,,11.0,,No,,No internet service,,No internet service,,,No internet service,One year,No,,20.6,233.9,No
6345-FZOQH,Male,0.0,,No,69.0,Yes,No,,,No internet service,,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,,No
3376-BMGFE,Female,0.0,No,No,4.0,Yes,No,Fiber optic,,,No,,No,,Month-to-month,,Bank transfer (automatic),70.9,,
5997-OPVFA,Male,,,No,,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,No
3445-HXXGF,Male,1.0,Yes,No,58.0,No,No phone service,DSL,No,,,No,,Yes,Month-to-month,Yes,Electronic check,,,Yes
1159-WFSGR,Female,0.0,Yes,Yes,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.4,321.4,No
7654-YWJUF,Male,0.0,Yes,No,,,No,Fiber optic,Yes,,Yes,Yes,No,No,,Yes,,84.25,3539.25,No
1875-QIVME,,0.0,Yes,No,2.0,,,Fiber optic,No,,,,Yes,,Month-to-month,Yes,Electronic check,,,Yes
6727-IOTLZ,Male,0.0,Yes,No,14.0,,No,,,Yes,Yes,Yes,Yes,Yes,Two year,No,,81.95,1181.75,No
0691-JVSYA,Female,,Yes,No,53.0,Yes,No,Fiber optic,No,No,Yes,,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,
5918-VUKWP,Female,,No,No,32.0,Yes,No,,No internet service,No internet service,,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.55,654.55,No
1744-JHKYS,Female,0.0,,No,34.0,Yes,Yes,No,,No internet service,,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.7,780.2,No
2656-FMOKZ,Female,1.0,No,No,15.0,Yes,,Fiber optic,,No,No,No,No,,,Yes,Mailed check,74.45,1145.7,
2070-FNEXE,Female,1.0,No,No,7.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,,Bank transfer (automatic),76.45,503.6,
5947-SGKCL,Female,0.0,Yes,,15.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,,,,1559.25,No
3712-PKXZA,Male,,Yes,No,61.0,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1252,No
6317-YPKDH,Female,0.0,,,1.0,,,,No,,No,No,No,No,,No,Bank transfer (automatic),29.95,29.95,Yes
6582-OIVSP,Female,0.0,No,,,Yes,No,DSL,No,No,No,No,No,No,,No,Mailed check,,45.3,No
9367-WXLCH,Male,0.0,,,8.0,Yes,Yes,,No,No,No,No,,Yes,Month-to-month,No,,84.5,662.65,Yes
5524-KHNJP,Male,0.0,Yes,Yes,33.0,Yes,No,DSL,Yes,,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.75,2453.3,No
,,0.0,No,No,13.0,,No,Fiber optic,No,Yes,Yes,No,No,No,,,,,,Yes
1024-GUALD,Female,0.0,Yes,,1.0,,No phone service,DSL,No,No,,No,,,Month-to-month,Yes,Electronic check,,24.8,Yes
4827-USJHP,Male,0.0,No,No,20.0,Yes,No,DSL,No,Yes,,No,No,No,Month-to-month,Yes,Mailed check,51.8,1023.85,No
,Male,,No,No,3.0,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,,30.4,82.15,No
0956-SYCWG,Female,,,No,13.0,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,,244.8,No
8017-UVSZU,,,,No,40.0,Yes,Yes,,No,Yes,,,No,No,Month-to-month,No,Credit card (automatic),56.6,2379.1,No
,,,Yes,Yes,43.0,,Yes,DSL,Yes,No,,,,,,Yes,,71.9,,No
2472-OVKUP,Male,0.0,Yes,No,6.0,Yes,No,Fiber optic,,Yes,Yes,No,,,Month-to-month,Yes,Electronic check,91.0,,
