Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
AI Engineer,,0.0,Master's,0.56,0.51,0.13,Low,0.52,0.09,0.35,0.03,0.08,0.4,0.13,0.57,,0.8
Graphic Designer,98577.0,,High School,0.17,0.6,0.55,Medium,0.71,0.03,0.94,0.05,,0.71,0.87,,0.8,
Construction Worker,,6.0,Master's,,1.05,0.85,High,,0.48,0.04,0.16,0.44,0.72,,0.65,0.48,0.62
Marketing Manager,61890.0,22.0,Master's,,,,Medium,0.43,0.04,0.16,0.02,0.65,0.33,,0.49,0.08,0.4
HR Specialist,75500.0,28.0,Bachelor's,0.42,0.7,0.64,Medium,0.17,0.96,0.42,0.85,0.63,0.74,0.77,,0.54,0.51
Truck Driver,95128.0,,PhD,0.03,0.9,,High,0.6,0.79,0.66,0.99,0.28,0.36,0.38,0.47,,0.24
UX Researcher,49975.0,3.0,High School,0.91,0.68,0.4,Medium,0.97,0.18,0.85,0.49,,0.87,0.45,0.51,0.36,0.59
Chef,75893.0,16.0,Master's,0.39,1.47,0.4,Medium,0.66,0.33,,0.13,0.97,,,,0.17,
HR Specialist,106619.0,29.0,High School,0.15,0.95,0.54,Medium,0.95,0.25,0.36,0.38,0.61,,0.53,,0.71,0.45
HR Specialist,113310.0,14.0,High School,0.56,1.04,0.31,Medium,,,0.23,0.05,0.64,0.22,,0.09,0.1,0.58
AI Engineer,,9.0,High School,0.4,0.98,0.22,Low,0.02,0.32,0.97,,0.25,0.52,0.34,0.53,0.13,0.13
Truck Driver,108131.0,15.0,Bachelor's,0.94,1.23,0.74,High,0.19,0.73,0.16,0.23,0.96,0.26,0.66,0.98,0.37,0.02
Research Scientist,58625.0,16.0,Bachelor's,0.83,1.36,0.24,Low,0.11,0.8,0.92,0.6,0.94,0.83,0.67,0.58,,0.16
Lawyer,47087.0,5.0,Bachelor's,0.32,1.37,0.7,Medium,0.75,0.09,0.29,0.11,0.65,0.77,0.93,0.44,0.9,
Customer Support,,,Bachelor's,0.87,0.88,0.77,High,,,0.63,0.61,,0.38,0.55,0.6,0.55,0.44
Mechanic,109973.0,25.0,High School,,,0.56,Medium,0.76,0.5,0.54,0.95,0.85,,0.81,0.11,0.15,0.53
Truck Driver,57598.0,11.0,PhD,0.48,0.89,0.84,High,0.75,0.72,0.52,0.82,,0.9,,,0.65,0.38
Doctor,75379.0,,Bachelor's,,0.69,,Low,0.62,0.52,0.67,0.93,,0.58,0.09,0.72,0.4,0.98
HR Specialist,130441.0,24.0,High School,0.52,,,Medium,0.8,,,0.79,0.19,0.92,,0.09,0.82,0.37
UX Researcher,72668.0,9.0,High School,,0.5,,Medium,0.52,0.59,0.79,0.65,0.17,0.36,0.91,0.77,,0.26
Data Scientist,140641.0,23.0,Master's,0.82,0.92,0.57,Medium,0.1,0.62,,0.59,0.17,0.74,0.86,0.22,,0.02
Marketing Manager,46014.0,2.0,PhD,0.61,1.05,0.39,Medium,0.39,0.59,0.5,,0.14,0.7,,0.43,0.72,0.69
Data Scientist,92438.0,,Bachelor's,0.13,0.6,0.59,Medium,0.58,0.27,,0.09,0.89,0.19,0.32,0.23,0.35,0.07
Doctor,102240.0,27.0,High School,,,,Low,,0.88,,,0.32,0.33,,0.99,,0.56
Truck Driver,39686.0,,PhD,0.33,,0.72,High,0.96,0.63,0.75,0.17,0.41,,,0.0,,0.98
Mechanic,40754.0,15.0,PhD,0.38,,0.69,Medium,0.02,0.74,0.77,,0.67,0.09,0.26,,0.86,0.61
Retail Worker,40699.0,5.0,Bachelor's,,0.56,0.73,High,0.23,0.34,0.38,,,0.51,,0.28,0.94,0.87
HR Specialist,120373.0,,PhD,0.79,1.07,,Medium,0.39,0.5,,0.54,0.63,0.67,0.53,0.72,,0.21
Software Engineer,70461.0,8.0,High School,0.32,,0.36,Medium,0.22,0.96,0.57,,0.58,0.48,,0.61,0.14,0.9
HR Specialist,103965.0,28.0,High School,0.32,1.45,,Medium,0.67,0.12,,0.51,,0.08,0.78,,0.59,0.94
Research Scientist,58179.0,17.0,PhD,0.28,1.35,,Low,0.02,0.6,0.36,0.39,0.56,0.19,0.21,0.48,0.75,0.62
Doctor,125694.0,,PhD,0.43,0.67,,Low,,0.27,0.18,0.69,,,0.23,0.23,0.22,0.17
Chef,128723.0,,High School,0.85,1.22,0.62,Medium,0.4,0.65,0.35,0.53,0.48,0.18,0.39,0.96,0.25,0.13
Financial Analyst,,21.0,Bachelor's,0.79,1.08,,Medium,0.19,0.62,0.32,0.83,0.63,0.2,0.06,0.04,0.37,0.27
Research Scientist,,20.0,PhD,0.84,0.6,0.17,Low,0.15,,0.74,,0.38,,0.46,,,
HR Specialist,62784.0,23.0,Master's,0.32,1.19,0.48,Medium,0.25,0.84,0.04,,0.46,0.64,0.66,,0.64,0.61
Nurse,37099.0,22.0,High School,0.52,0.65,0.23,Low,,,0.04,0.08,0.72,0.07,,0.01,0.96,0.74
Graphic Designer,,,Bachelor's,0.99,1.47,0.68,Medium,0.78,0.35,0.41,0.55,0.83,0.07,0.42,0.08,,
Data Scientist,91063.0,7.0,Master's,0.62,0.88,,Medium,0.12,0.62,0.77,0.64,0.53,,0.97,,0.29,0.98
Security Guard,89765.0,12.0,PhD,0.58,1.25,0.9,High,0.66,,0.34,0.93,0.22,0.37,,,,0.94
Mechanic,32461.0,19.0,High School,0.12,0.7,0.65,Medium,0.65,0.29,0.82,0.86,0.85,0.92,0.25,0.76,0.46,0.84
Teacher,53911.0,,Master's,,1.16,,Low,0.55,0.98,,0.04,0.16,0.13,0.73,0.82,0.21,0.51
Financial Analyst,50567.0,,Bachelor's,0.73,1.04,0.54,Medium,0.51,0.3,0.57,0.69,0.87,0.64,0.76,0.16,0.46,0.01
Marketing Manager,52656.0,11.0,Bachelor's,0.73,,0.34,Medium,0.4,,,0.56,,0.62,,,0.78,0.55
Research Scientist,77701.0,,Bachelor's,,0.54,0.24,Low,0.2,0.96,0.37,0.33,0.15,,0.88,1.0,,
Graphic Designer,,,High School,0.89,1.09,0.46,Medium,0.41,0.7,,0.62,0.36,0.79,0.09,0.59,0.48,0.64
Research Scientist,46087.0,4.0,High School,0.58,,0.19,Low,0.6,0.68,,0.27,0.83,0.5,0.08,0.06,,0.78
Lawyer,67861.0,20.0,PhD,0.79,1.02,0.48,Medium,0.15,0.33,0.43,0.09,0.22,,0.74,,0.93,0.64
Construction Worker,89792.0,,Master's,,,0.73,High,0.41,0.84,,,0.59,0.18,0.36,0.33,,0.02
Chef,36397.0,21.0,Bachelor's,0.27,,0.42,Medium,0.94,0.26,0.43,,0.84,0.19,0.8,,0.48,0.13
Data Scientist,49715.0,29.0,Master's,0.73,1.0,,Medium,0.73,0.77,0.16,0.61,0.14,0.75,0.66,,0.07,0.06
Lawyer,122573.0,21.0,High School,0.26,0.75,0.66,Medium,,,,0.45,,0.07,0.49,,0.06,
Graphic Designer,133864.0,20.0,Master's,0.53,0.91,0.44,Medium,0.9,0.02,,0.96,0.56,0.94,,0.42,0.26,
Chef,48745.0,20.0,Master's,0.26,1.15,0.38,Medium,0.57,0.46,0.97,0.61,,0.11,0.15,,0.25,
Doctor,49446.0,0.0,Master's,0.52,0.61,0.27,Low,,,0.71,0.54,,0.46,,,0.95,0.85
Nurse,98673.0,9.0,Master's,,,0.21,Low,0.55,0.06,0.51,0.81,0.46,,,0.2,0.26,
Customer Support,93870.0,3.0,PhD,0.76,1.02,0.75,High,0.88,0.88,0.87,0.24,0.45,,,,0.07,0.46
Financial Analyst,72951.0,11.0,High School,0.54,1.0,0.34,Medium,0.66,,0.38,,0.96,0.2,,0.29,0.79,0.58
Construction Worker,37239.0,22.0,High School,0.64,0.7,0.92,High,0.52,0.45,,0.17,0.61,0.36,0.9,0.17,0.51,0.6
Customer Support,,,PhD,0.89,1.15,0.74,High,0.44,0.62,0.08,0.88,,0.51,0.97,,0.98,0.67
Security Guard,149052.0,1.0,Bachelor's,0.17,1.38,0.81,High,0.16,0.01,0.56,0.53,0.72,0.89,,0.73,0.19,0.86
Teacher,39587.0,,Bachelor's,0.54,1.21,0.13,Low,0.47,,0.46,0.36,0.49,0.83,0.34,,0.71,0.83
Marketing Manager,120301.0,0.0,Master's,0.24,0.64,0.44,Medium,,0.75,,0.62,,0.84,0.47,0.98,0.63,0.13
HR Specialist,117969.0,1.0,PhD,0.31,0.5,0.57,Medium,0.17,0.66,0.99,0.07,0.08,0.34,0.87,0.22,0.36,0.07
Security Guard,39528.0,20.0,High School,0.41,,0.93,High,0.23,,0.06,0.9,0.65,0.87,0.0,0.17,,0.38
Teacher,95677.0,,Master's,0.38,0.63,,Low,0.8,0.48,0.02,0.42,0.03,0.97,0.13,0.71,0.97,
HR Specialist,51778.0,8.0,Bachelor's,0.84,,0.55,Medium,0.56,0.63,0.53,0.64,0.45,0.22,,0.07,0.26,0.05
Lawyer,36816.0,23.0,High School,0.28,1.32,0.33,Medium,0.23,0.73,0.6,0.06,0.88,0.88,0.33,0.34,,
Research Scientist,53567.0,28.0,Bachelor's,0.84,0.79,0.16,Low,,0.79,0.57,0.66,,,0.49,0.74,,0.03
Lawyer,121170.0,16.0,Bachelor's,0.06,1.46,0.31,Medium,0.69,,0.91,,0.14,0.34,0.16,0.17,0.95,
AI Engineer,91944.0,,Bachelor's,0.64,1.18,0.08,Low,,0.79,0.97,0.26,0.27,,,,0.41,0.89
Security Guard,123905.0,,Bachelor's,,1.1,0.93,High,0.24,0.47,0.45,0.47,0.62,,0.45,0.47,0.59,
Teacher,73056.0,13.0,Master's,0.05,,0.26,Low,0.28,0.46,0.44,0.22,0.4,0.04,,0.82,0.28,0.82
Truck Driver,89156.0,18.0,Master's,0.88,1.07,,High,0.68,0.04,0.45,0.93,0.17,0.39,,0.88,0.67,0.26
Marketing Manager,,15.0,PhD,0.3,1.22,0.68,Medium,0.72,0.86,,,0.83,0.04,0.87,0.26,0.67,0.8
Doctor,54995.0,17.0,PhD,0.09,1.1,0.19,Low,,0.4,0.32,0.75,,,0.65,0.89,0.6,
Mechanic,100194.0,21.0,High School,0.12,,0.37,Medium,,0.74,,0.83,0.99,0.82,,0.53,0.45,0.08
Lawyer,97534.0,,High School,0.91,,0.39,Medium,0.47,0.82,0.07,0.39,0.85,0.4,,,0.86,0.59
UX Researcher,123547.0,1.0,High School,0.38,0.95,0.53,Medium,0.76,,0.89,0.01,0.37,0.03,0.39,0.53,0.51,0.17
AI Engineer,111926.0,3.0,Bachelor's,0.04,1.26,0.29,Low,0.34,0.52,,0.01,0.39,0.79,0.6,0.1,0.85,0.53
HR Specialist,107487.0,19.0,Bachelor's,0.58,1.06,,Medium,0.17,0.97,0.23,0.98,0.53,0.14,,0.21,,0.41
HR Specialist,107362.0,,Master's,0.31,0.65,0.5,Medium,0.13,0.84,0.37,,0.47,0.44,0.99,0.55,0.09,0.61
Financial Analyst,44973.0,,Master's,,1.47,0.61,Medium,0.98,0.48,,,0.25,0.84,,0.83,0.71,
Research Scientist,,13.0,Master's,0.68,0.74,0.26,Low,,,0.58,,0.15,0.82,0.21,0.78,0.73,0.3
Doctor,104965.0,24.0,Bachelor's,0.79,0.96,0.23,Low,0.15,0.85,0.71,0.91,0.13,0.59,0.6,0.35,0.46,0.04
Truck Driver,74789.0,10.0,Master's,0.55,0.56,0.87,High,0.47,0.03,0.97,0.95,0.51,0.09,0.75,0.49,0.3,0.49
Security Guard,88954.0,,High School,,0.94,0.85,High,0.92,,0.73,,,0.44,0.6,0.59,0.81,
Teacher,78456.0,,PhD,,0.94,0.26,Low,,,0.88,0.45,0.51,0.63,0.93,,0.48,0.69
Financial Analyst,116698.0,2.0,High School,0.69,0.63,0.42,Medium,0.36,0.8,0.28,0.21,0.96,,1.0,0.68,0.83,0.29
Chef,40886.0,,High School,0.74,1.33,0.6,Medium,0.14,0.75,0.77,0.66,0.77,,0.61,0.09,0.49,0.08
AI Engineer,78511.0,,High School,0.41,,0.14,Low,0.11,,0.95,0.07,0.96,0.52,0.3,0.08,0.5,0.79
AI Engineer,136127.0,5.0,Master's,0.05,,,Low,0.3,0.23,0.28,0.8,0.93,0.41,,0.32,0.48,0.23
Truck Driver,,29.0,Bachelor's,0.98,1.1,0.79,High,,0.12,0.89,,,0.59,0.62,0.07,0.68,0.24
Security Guard,134859.0,13.0,Master's,0.82,1.3,0.84,High,0.52,0.14,,0.27,0.5,0.28,0.13,0.63,0.05,0.75
Nurse,119678.0,24.0,High School,0.0,,0.06,Low,0.28,0.71,,0.84,0.0,,,0.32,0.1,0.36
UX Researcher,,,Master's,0.84,0.81,0.62,Medium,0.89,0.43,0.91,0.38,0.96,,0.69,0.49,,
Mechanic,,,Bachelor's,0.14,,,Medium,0.18,0.28,0.13,0.68,0.94,0.27,0.48,0.63,1.0,0.1
Lawyer,52005.0,15.0,Bachelor's,0.39,1.37,0.49,Medium,,0.63,,0.0,0.86,,0.55,0.42,,0.37
Security Guard,82389.0,,Bachelor's,0.73,1.15,0.9,High,0.75,0.04,0.39,0.93,,0.74,0.97,,0.68,0.47
Chef,84336.0,3.0,High School,0.09,0.54,,Medium,0.82,0.78,0.54,0.1,0.69,0.24,0.91,0.84,0.71,0.95
Financial Analyst,112594.0,24.0,High School,,0.83,,Medium,0.27,0.72,0.88,0.04,0.4,,0.45,0.27,,0.13
Security Guard,,26.0,Bachelor's,0.58,,0.8,High,0.37,0.18,0.44,0.33,0.34,0.74,0.22,0.64,0.57,0.57
UX Researcher,85668.0,3.0,Master's,0.55,,,Medium,0.55,0.83,0.61,0.29,,0.15,,0.71,,0.6
Software Engineer,82428.0,14.0,Bachelor's,0.06,1.17,0.53,Medium,0.99,0.24,0.53,0.65,0.64,0.56,,0.2,0.73,0.62
Data Scientist,107240.0,25.0,Bachelor's,0.85,0.82,0.41,Medium,0.98,,0.91,0.16,0.64,0.81,0.95,0.34,0.72,
UX Researcher,120270.0,8.0,Master's,,1.19,0.67,Medium,0.5,0.23,0.04,0.42,0.3,0.76,0.35,0.95,0.96,0.62
AI Engineer,74605.0,21.0,Master's,0.76,1.05,0.1,Low,0.46,0.56,0.86,0.48,0.9,0.67,0.14,0.99,0.53,0.39
UX Researcher,140059.0,5.0,Bachelor's,0.11,1.14,,Medium,0.41,0.95,0.52,0.22,0.46,0.92,,0.21,0.01,0.01
Mechanic,96155.0,,Bachelor's,0.73,,0.58,Medium,,0.95,,0.39,0.85,0.77,,0.23,0.46,0.78
Construction Worker,131971.0,23.0,Master's,,,0.85,High,0.84,0.78,,0.55,0.8,0.05,0.81,0.18,0.51,0.81
Teacher,57413.0,4.0,High School,,0.9,0.27,Low,0.0,,0.15,0.99,,0.49,0.51,0.48,0.64,0.09
Software Engineer,,2.0,Bachelor's,0.06,,0.41,Medium,0.62,0.99,,0.57,0.42,0.85,0.9,0.88,0.97,0.03
HR Specialist,,10.0,PhD,0.75,0.73,0.68,Medium,0.15,0.68,0.22,0.43,0.72,0.56,0.43,0.33,0.84,0.14
Research Scientist,110070.0,14.0,Master's,0.9,1.35,0.15,Low,,,0.89,,0.2,0.26,0.3,0.59,0.03,
UX Researcher,50954.0,3.0,Master's,0.3,1.38,0.48,Medium,0.1,0.83,,0.73,0.77,0.35,0.82,0.52,0.46,0.05
Customer Support,118691.0,22.0,PhD,0.93,0.89,0.84,High,0.53,0.59,0.06,0.36,0.72,,0.2,0.01,0.44,0.88
Lawyer,120453.0,14.0,Bachelor's,0.19,0.81,0.59,Medium,0.64,0.42,,0.61,0.9,0.82,0.25,0.27,0.13,
